Centris no,Type,Date Listed,Status,Address,Size,Active price,Taxes,Old prices,Zoning,Coordinates,Description
24780337,Lot for sale,2023-06-20,Active,"98, Rue Saint-Pierre, Saint-Jean-sur-Richelieu, Neighbourhood Saint-Jean-sur-Richelieu",5693 sqft,295000,NO,"0,00",Residential,45.3020580000--73.2618010000,"TERRAIN POUR TRIPLEX Voici un projet presqu'entièrement clé-en-main : L'implantation, l'évaluation agréée, les plans architecturaux ainsi que le permis de démolition sont déjà réglés. Il ne manque plus qu'à faire l'achat du terrain, démolir et demander votre permis de construction. Tous les documents en possession du vendeur seront transmis à l'acheteur avec la vente. Secteur en transformation au potentiel locatif remarquable. Opportunité mise à prix juste et prête à être exécutée immédiatement, faites vite !"
14783698,Lot for sale,2023-06-20,Active,"Chemin de la Corniche, Saint-Adolphe-d'Howard",108888 sqft,234900,NO,"0,00",Residential,45.9730280000--74.3467910000,"NOTARIZED ACCESS to LAKE ST-JOSEPH!!! Two minutes from the heart of the village, on Mt-Howard, magnificent wooded land, preserved in the wild, and with deeded access to Lac St-Joseph, a few minutes walk away. RARE opportunity on the market! Area of 10,116.0 square meters. Can be acquired with adjacent land of 8007.6 square meters for a total of 18,123.6 square meters (4.48 acres). See Centris # 13546161"
16398970,Lot for sale,2023-06-20,Active,"Rue des Gémeaux, Sainte-Marguerite-du-Lac-Masson",54900 sqft,110000,NO,"0,00",Residential,46.0577141300--74.1269226400,"*LE RÊVE LAURENTIEN* Vous rêvez d'habiter en pleine nature, dans votre maison de rêve, de profiter de l'air frais et d'accès au lac, mais vous aimeriez aussi bénéficier de la vie communautaire qu'apporte les banlieues avec leur parcs et sentiers? NE CHERCHEZ PLUS! Le Domaine des Quatres Collines vous offre le meilleur des mondes avec accès à 2 lacs et un parc, équipements nautique, des kms de sentiers(adjacent aux terres publiques!) Presque trop beau pour être vrai!"
9367430,Lot for sale,2023-06-20,Active,"Rue du Tremble, Eastman",88531 sqft,340844,YES,"0,00",Residential,45.3447107400--72.2737998400,"* Ce terrain est le #62 sur le plan * Bienvenue au Pic de l'Ours, projet domiciliaire adossé au parc du mont Orford ! Ce grand terrain de plus de 2 acres avec des ruisseaux le serpentant offre une belle intimité et une tranquillité assurée. En plein coeur d'un développement haut-de-gamme entouré de montagnes avec, à proximité, la route verte, le mont Orford, le Spa Eastman et plus ! Vous aurez aussi accès à 102 acres de nature protégée en flanc de montagne et un réseau de sentiers pédestres accessibles aux résidants directement à partir de la maison ! Le site est desservi par Bell Fibe afin de faciliter l'accès au télétravail."
17979657,Lot for sale,2023-06-20,Active,"615, Rue Sainte-Hélène, Sorel-Tracy, Neighbourhood Sorel",7569 sqft,181656,YES,"0,00",Residential,46.0158984900--73.1106474800,"Beau terrain boisé de 7 569 pieds carrés idéal pour votre projet de construction unifamiliale. Situé sur un coin de rue dans un secteur résidentiel homogène et prisé à proximité d'une multitude de services, dont des parcs, un centre commercial, des écoles et l'autoroute 30. Infrastructures payées à 100%. Plusieurs dimensions disponibles, ne manquer pas cette opportunité!"
11473606,Lot for sale,2023-06-20,Active,"Chemin du Lac-Cloutier, Lantier",83754 sqft,110000,YES,"0,00","Residential, Resort",46.1790508000--74.2155255300,Consult
19867168,Land for sale,2023-06-20,Active,"Rang Saint-Jérôme, Baie-Saint-Paul",3046930 sqft,3500000,YES,"0,00","Residential, Resort",47.5192675200--70.5546354500,IMPORTANT - La vente de cette propriété dois être vendu conjointement avec la propriété voisine du rang St-Jérome à Baie St-Paul ayant le numéro de cadastre suivant : 3622817 cadastre du Québec. Voir la fiche centris 20508009 La terre voisine offre une superficie de 973 678 pied carré avec un étang.  ** Vidéo de drone offert sur demande **  À la demande du VENDEUR ; A) Aucune PA sera présentée le weekend B) Les PA seront présentées par le courtier inscripteur C) Toute PA devra être accompagnée d'une pré-autorisation bancaire ou preuve de comptant ainsi que le formulaire d'avis de divulgatio
15601145,Lot for sale,2023-06-20,Active,"Chemin de la Rivière-du-Nord, Saint-Jérôme, Neighbourhood Bellefeuille",24544 sqft,215000,NO,"0,00",Residential,45.8225168400--74.0551689300,"Large, wooded lot with waterfront access located near Saint-Jerome. Build your custom-designed home on this lovely property and enjoy peace and contentment.  Building permit  for single-family home is permitted."
14065218,Lot for sale,2023-06-20,Active,"Rue Roland, Laval (Auteuil), Neighbourhood Others",10000 sqft,90000,NO,"0,00",Residential,45.6348762300--73.7636812900,"PROJET FUTUR! Construction non permise pour le moment, la municipalité n'a toujours pas d'échéancier pour les service et infrastructures (quand la rue sera prolongée). Toute vérification d'usage est à la charge et de la responsabilité de l'acheteur.  Les frais d'arpentage seront aux frais de l'acheteur. Pour toute demande d'information svp faire parvenir via courriel au admin@thereseboivin.com ou admin@steveduarte.com"
10758409,Lot for sale,2023-06-20,Active,"Chemin des Outaouais, L'Île-du-Grand-Calumet",42382 sqft,49900,YES,"0,00",Residential,45.7802591900--76.6799249800,Mature treed building lot close to one acre with full and easy access to electrical service and internet. This lot has enough room to build your dream home or cottage. Deeded access to beautiful Ottawa River will be provided upon signing at the notary. Must see !
27385208,Lot for sale,2023-06-20,Active,"Chemin de Magoon Point, Stanstead - Canton",629958 sqft,699000,NO,"0,00",Residential,45.1355921400--72.2501726700,Beautiful wooded lot of 14.5 acres located within walking distance of the village of Georgeville. The entrance to the lot is approx. 179 meters from the road. Possibility of a very private and intimate construction project. Only one construction possible. A rarity in the village!
15169838,Lot for sale,2023-06-20,Active,"Rue Pilon, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/West",7677 sqft,385000,NO,"0,00",Residential,45.4592282200--73.9169333500,"Superb land of 7677 sq. ft. steps away from Cap Saint-Jacques. Excellent opportunity to build a two-storey or semi-detached house. The aqueduct and the sewers will be connected by the city. Located on a quiet street. Close to the REM, schools, beach, boat ramp nearby waterfront view from Boul. Gouin."
22347046,Lot for sale,2023-06-20,Active,"Avenue Sainte-Brigitte, Sainte-Brigitte-de-Laval",83711 sqft,119900,YES,"0,00",Residential,47.0383580000--71.1678460000,"New project in Ste-Brigitte-de-Laval - unique opportunity: huge wooded lots of 57,000 to 257,000 sq.ft. very close to the Montmorency River! Discover a true haven of peace a few minutes from downtown Ste-Brigitte. Only 31 properties on over 4 million square feet of land. Each lot, each location carefully considered to preserve maximum privacy. The constructions will be made to measure by Chabot Construction according to plans to be drawn up with you (different models also available). * the paths are private - costs to be expected for their maintenance."
28603380,Lot for sale,2023-06-20,Active,"4e Rang, Morin-Heights",29864 sqft,49000,NO,"0,00",Residential,45.9312890700--74.2506802100,"An excellent sought-after location in a picturesque region, located near the ski slopes and the golf club and several other recreational options in the Laurentians.  Make your offer quickly, a rare pearl on the real estate market.Other land available contact EquipeImmo 514-700-1900"
11198780,Lot for sale,2023-06-20,Active,"Rue des Ingénieurs, Alma, Neighbourhood Alma",12094 sqft,8.5,YES,"0,00",Residential,48.5869941300--71.6335404100,Consult
27651157,Lot for sale,2023-06-20,Active,"1175, Chemin d'Aylmer, Gatineau (Aylmer), Neighbourhood Aylmer Nord",129008 sqft,3500000,NO,"0,00",Residential,45.4107376600--75.7780496100,"129,000 square feet (3 ACRES) located at the intersection of Aylmer Road and Chaudiere Street. This property offers tremendous development potential for a well-informed developer or investor. The city of Gatineau is open to densification.  Environmental study phase 1: No anomalies found. Stone residence of 3000 sq.ft. on the lot, this one is not part of the properties protected by the city or classified as patrimonial."
15958726,Lot for sale,2023-06-20,Active,"1159, Rue Talon, Chambly",9352 sqft,299900,NO,"0,00",Residential,45.4462416900--73.2907937600,"Located in a quiet area with a wooded courtyard, this land of more than 9300 sq.ft. is ready to build to accommodate an isolated single-family home. The water cut is included by the owner. The red lines shown in the photos are not exact and are for illustrative purposes only."
14489268,Lot for sale,2023-06-20,Active,"boulevard Pierre-Laporte, Brigham",53820 sqft,145000,NO,"0,00",Residential,45.2317640000--72.7089620200,"«BRIGHAM, Localisé mi-chemin entre la ville de Bromont et Cowansville adonnant sur le boulevard Pierre- Laporte» magnifique terrain CONSTRUCTIBLE, 100% zoné BLANC! L'acheteur sera responsable de valider selon le zonage ID-13 du secteur la faisabilité du projet qu'il projette de réaliser auprès de la municipalité de Brigham. Emplacement stratégique pour les nouvelles familles! À seulement 10 mins de la sortie 74 de l'autoroute 10."
21690114,Lot for sale,2023-06-20,Active,"Chemin de Saint-Jean-des-Piles, Shawinigan, Neighbourhood Saint-Jean-des-Piles",72992 sqft,129000,YES,"0,00","Recreational and tourism, Residential",46.7193941200--72.7670573000,"#7 La vie de campagne vous intéresse? Le Groupe Terrestria vous offre plusieurs terrains avec vue sur le St-Maurice. Le zonage permet de l'unifamiliale, sous peu le vendeur s'attend à recevoir une modification au zonage qui permettra la location à court terme style Air BNB. La vue est impressionnante, ils partiront vite!!"
18413806,Lot for sale,2023-06-20,Active,"9, Avenue Pearson, Senneville",49008 sqft,1226329,YES,"0,00",Residential,45.4157812800--73.9508020200,"Prestigious Senneville location. Come build your dream home in this small private hideaway of 7 lots. Ready to build with infrastructure included by the seller. Road, water, sewage, Hydro and telecommunications underground. No future costs from the town. Price per sq. ft $25.02 + txs ($28.77 tx incl.) WOW !!! Absolutely close to everything incl. the new REM. Pre Approval with any offers required please. "" This is LOT # 6 *** May Blitz 20% off...Take advantage of our ""Beat the Rate"" prices for the season.***"
15246716,Land for sale,2023-06-20,Active,"Rue du Lac-Piché, Sainte-Marguerite-du-Lac-Masson",655522 sqft,275000,NO,"0,00","Other, Residential",46.0069355400--74.0824648600,VIEWS....Mountain top..15 acres....
13854747,Lot for sale,2023-06-20,Active,"Chemin des Aigles-Pêcheurs, Nominingue",41956 sqft,64900,NO,"0,00",Residential,45.8749790000--74.1193130000,"Wow! Beautiful flat, wooded lot of 42,000 square feet. This lot is located in a wetland area in its entirety. If you are looking for peace and quiet, this is for you! Also enjoy the right to install a dock for your boat. Notarized access to a 3,000 square foot sandy beach on the shores of Petit Lac Nominingue, shared with a single adjacent lot that is currently undeveloped. The beach faces southeast and offers beautiful views of Petit Lac Nominingue. Warm, shallow water for about 200 meters from the shore. Large network of interconnected lakes."
15163440,Lot for sale,2023-06-20,Active,"Chemin du Grand-Lac-Noir, Wentworth-Nord",2738761 sqft,749000,NO,"0,00",Residential,45.8668285900--74.4493260100,Over 62 acres of beautiful wooded land with a variety of tree types and your own private lakefront lot. A mix of flat and sloped land giving you the possibility to build your own private domaine or subdivide. Something unique and special in an area known for its year-round sporting activities. Privacy and tranquility guaranteed!
21824763,Lot for sale,2023-06-20,Active,"Rang des Haricots, Val-Racine",38752 sqft,64800,YES,"0,00","Recreational and tourism, Residential",45.4583855900--71.0643766700,"Lot 17 - La localisation parfaite pour développer votre projet rêvé! Dans un charmant secteur teinté de nature et de paix, ce terrain de 38 752 pi2 au pied du mont Mégantic offre un potentiel unique, idéal pour une résidence principale, un pied-à-terre en nature ou une résidence touristique. Découvrez les avantages de ce majestueux secteur à proximité du Parc National du Mont Mégantic!"
24139039,Lot for sale,2023-06-20,Active,"547, Route Laurier, Notre-Dame-du-Sacré-Coeur-d'Issoudun",31147 sqft,65000,YES,"0,00",Residential,46.5646336100--71.6647775600,"À 2.09 le pied carré (65,000$) Grand terrain résidentiel de plus de 31 140 pi2 partiellement boisé, sans service d'égout et d'aqueduc. À 25 minutes de ponts de Québec, idéal pour autoconstruction. Contactez Marcel Bergeron au 418-657-5576 info@marcelbergeron.qc.ca"
24973637,Lot for sale,2023-06-20,Active,"Rue de la Gala, Brownsburg-Chatham",62053 sqft,144000,YES,"0,00",Residential,45.6810534200--74.3580653600,"Welcome at the Old Orchard of Brownsburg-Chatham. A prestigious estate of 25 wooded lots beautifully integrated to the environment. Enjoy a ""natural"" and ""chic"" way of life, only a few minutes from the town of Lachute. Contact Valiquette, Sutton real estate broker for more information about our *NEW PHASE 2023* Already 4 lots sold! Hurry up! 873.564.8200, ericv@sutton.com (Lot #24)"
11472598,Lot for sale,2023-06-20,Active,"159, Rue des Rigolets, Vaudreuil-sur-le-Lac",19787 sqft,499999,NO,"0,00",Residential,45.4241167100--74.0324743200,Consult
19763723,Lot for sale,2023-06-20,Active,"Chemin Johnson, Thorne",50641 sqft,25000,YES,"0,00",Residential,45.7918434000--76.3973201700,Enchanting site to build the house of your dreams! Come and admire nature changing with the seasons and you will find all the relaxation and serenity you are looking for. Who is feeling lucky?
10170056,Lot for sale,2023-06-20,Active,"Chemin Pink, Gatineau (Aylmer), Neighbourhood Aylmer Nord",43701 sqft,69800,NO,"0,00",Residential,45.4398746100--75.8607801600,"Terrain de 1 acre (155,6 pieds x 282,1 pieds) à Aylmer pour éventuellement y bâtir votre foyer familial ou aussi pour investissement. Le terrain est enclavé mais accessible par le chemin Pink, entre le ch. Scholle et Klock."
17319077,Lot for sale,2023-06-20,Active,"Rue des Hérons, Saint-Côme",68163 sqft,68163,YES,"0,00",Residential,46.2271910000--73.8145630000,Terrain boisé de 68 163 pc situé en 2e rang sur la rue des Hérons à St-Côme. Droit pour construction résidentielle ou chalet. Secteur écologique sans électricité. Accès au lac Malard. Secteur très paisible. Bienvenue à tous !
14068210,Lot for sale,2023-06-20,Active,"Rue de la Randonnée, Boischatel",3875 sqft,110500,YES,"0,00",Residential,46.9073541800--71.1365201500,"NOUVELLE PHASE - Développements Boischatel. Terrain de jumelé de 3875 pi car, doit être vendu avec le terrain lot 6481503 cad du Québec SIA #25968442.  Services aqueduc et égouts à venir. Acte de vente pourra être fait dès que la ville pourra émettre les permis de construction pour cette phase (printemps 2023)."
27887938,Lot for sale,2023-06-20,Active,"Rue Daneau, Pierreville",32523 sqft,69900,YES,"0,00",Residential,46.1072565300--72.8730350600,"LA CAMPAGNE AU VILLAGE! UN DES RARE TERRAIN DE 32 523 P2 DISPONIBLE POUR VOTRE PROJET! Superbe terrain d'une grande superficie situé dans un secteur en développement de Pierreville avec accès municipal à la rivière St-François (cour d'eau navigable), à proximité des commodités, parcs, ainsi qu'à 35 minutes de 3-Rivières, Drummondville et Sorel! IDÉAL pour concrétiser votre projet et y construire votre environnement de rêve! Endroit idéal pour un couple, famille, les jeunes comme les plus vieux! Amateur de pêche, sports nautiques et motoneige seront servis! À voir! Réalisez votre rêve! Informez-vous des possibilités qui s'offre à vous!"
16264517,Lot for sale,2023-06-20,Active,"Chemin du Hâle, Wentworth-Nord",132923 sqft,165000,NO,"0,00",Residential,45.8570971700--74.3814118900,"En vous procurant ce magnifique terrain de 130 000pc faisant partie du domaine du Lac-Victor, vous aurez un accès notarié au lac Notre-Dame non-navigables en plus d'avoir une vue prenante sur le Lac St-Victor et ses forêts avoisinantes. Vous aurez également un accès direct à des kilomètres de sentiers en plein nature. Idéal pour les amateurs de plein air. À proximité d'une piste cyclable qui longe le lac St-François Xavier."
12980562,Lot for sale,2023-06-20,Active,"Rue des Récoltes, Sainte-Barbe",20395 sqft,122373,YES,"0,00",Residential,45.1645946400--74.2030392800,"Welcome auto builder! Land of 20395 square feet, located in the Au gré des champs project in Sainte-Barbe, about 10 minutes from Salaberry-de-Valleyfield. Single family zoning. Municipal sewer and water services. Close to a park, a seniors' coop and a future daycare centre. The refusal is shallow, between 3.5 and 4.5 meters deep"
27641430,Lot for sale,2023-06-20,Active,"8, Rue Gratton, Lac-Sainte-Marie",39988 sqft,34500,NO,"0,00",Residential,45.9289864100--75.8234011200,"Spacious 39,987 sqft wooded lot with great topography, water access located ideally located minutes from Ste-Marie ski and golf! Presently sold with 20-22 ch. Villa-Riosa."
11667618,Lot for sale,2023-06-20,Active,"12, Chemin des Trembles, Gracefield, Neighbourhood Wright",19897 sqft,30000,YES,"0,00",Residential,46.1363700000--76.1326240000,"Secteur Gracefield, bien localisé, grand terrain résidentiel situé dans un environnement paisible. Vous avez un plan en tête! Vous êtes prêt à construire! Voici une très belle occasion à saisir."
11927130,Lot for sale,2023-06-20,Active,"Chemin Giguère, Lambton",38750 sqft,59000,YES,"0,00",Residential,45.8337050000--71.1055200000,"Grand Lac St-François, Lambton, Estrie. Beau terrain prêt à bâtir de 38 750pi.ca. Vue sur le lac, ACCÈS notarié au Grand lac St-François sur un grand terrain. Droit de plage, descente de bateau bétonnée. Un des plus bel accès du lac! N'attendez pas plus longtemps et venez visiter!"
16674996,Lot for sale,2023-06-20,Active,"Chemin du Cerf, Lac-Sainte-Marie",152951 sqft,155000,YES,"0,00",Residential,45.9458523600--75.9139866600,"Panorama 2, A first time offering, this is the largest lot with arguably the best view. South and west panoramic view of not only Lac-Sainte-Marie but the village as well. Like all of the Panorama lots, it's guaranteed to astound you. Close proximity to the private, shared lake access.Right of way will be written into deed at the time of sale."
11617327,Lot for sale,2023-06-20,Active,"Chemin du Lac-Wayagamac, La Tuque, Neighbourhood La Tuque",43056 sqft,40000,YES,"0,00",Residential,47.4145022700--72.7708341600,"La Vallée Mercier vous offre dès maintenant 18 emplacements, tous différents, de 44 000 à 250 000 pieds carrés dans un environnement naturel, tout simplement au beau milieu de la ville."
13530133,Lot for sale,2023-06-20,Active,"11, Montée Jean-Marc, Lac-Sainte-Marie",39998 sqft,99900,YES,"0,00",Residential,45.9502500000--75.8276060000,"Amazing lot of 39,998 square feet on the shores of Lac Poisson Blanc. Ideal for lovers of nature, the outdoors and tranquility. The lots include rights of passage to private roads and shared land, including notarized access to lake. Getting your dream life in this serene nature is possible. Get in touch with us, and we will provide you with all the information you need regarding our lots, activities, homes, and many more."
18136281,Lot for sale,2023-06-20,Active,"54A, Rue Beaver, Noyan",5950 sqft,59000,NO,"0,00",Residential,45.0900795700--73.3007956700,"Ready-to-build land (non-flood area) of 5,950 sq. feet located within walking distance of Richelieu River (access rights included). Dead-end street (assuring tranquility). Serviced by municipal sewer system, well to be dug by the buyer. Peaceful area located 20 minutes away from St-Jean-sur-Richelieu and 40 minutes from Montreal. Ideal for immediate or future project. Quiet and homogeneous neighborhood with several recent constructions. Ideal for entrepreneurs, DIYers, investors, and nautical sports enthusiasts. Must see!"
14009305,Lot for sale,2023-06-20,Active,"Chemin Ritchot, Gracefield, Neighbourhood Wright",87120 sqft,59900,YES,"0,00",Residential,46.1545746500--76.1380757600,Consult
22718179,Lot for sale,2023-06-20,Active,"Rue de Cabourg, Québec (La Haute-Saint-Charles), Neighbourhood Val-Bélair",355396 sqft,2950000,YES,"0,00",Residential,46.8446080300--71.4140103400,"Terrain de +- 33017mc,a développer projet de +- 60 jumelés."
10189663,Lot for sale,2023-06-20,Active,"Rue Hay, Lachute",800892 sqft,1500000,YES,"0,00",Residential,45.6638382200--74.3487575700,CONTRACTEURS: 16 terrains à construire. Nouveau lotissement. Études d'urbanisme et d'environnement pour les zones humides complétées. Situés à deux pas de l'hopital.
17723037,Lot for sale,2023-06-20,Active,"Rue du Madrigal, Salaberry-de-Valleyfield, Neighbourhood Grande-Île",10232 sqft,225110,YES,"0,00",Residential,45.2823644300--74.1328489600,"Welcome auto builder! Land of 10232 square feet, backed by a wood, no rear neighbors, located in the Grande-Ile district of Salaberry-de-Valleyfield. Close to shopping centers, downtown Valleyfield and a future primary school. Single family zoning. Municipal sewer and water services. Underground electric service."
16153241,Lot for sale,2023-06-20,Active,"Chemin de la Perdrix, Val-des-Lacs",247177 sqft,225000,YES,"0,00","Residential, Resort",46.2042797300--74.3989611300,"Terrain no.57,Le plus beau et le plus grand du projet Borea Refuge Laurentien, vue superbe!!!  Location court terme permise ici!!! Projet Borea Refuge Laurentien à 15 min du Versant Nord de Tremblant et du Parc du Mont Tremblant."
13851570,Lot for sale,2023-06-20,Active,"Chemin Indian, Saint-Adolphe-d'Howard",17500 sqft,23500,NO,"0,00",Residential,45.9329009600--74.2863583600,"Beau terrain boisé de 17 500 pc situé au Domaine Alpine, près de Morin-Heights et à quelques km de St-Sauveur, ""Accès notarié à 3 Lacs"": Lac Des Pins (à distance de marche), Lac Bouchette et Lac St-Denis. Environnement paisible près de tous les services et de toutes les activités sportives. Voilà la chance d'y faire votre construction !"
14193727,Lot for sale,2023-06-20,Active,"1, Rue Ringrose, Campbell's Bay",12674 sqft,59000,NO,"0,00","Commercial, Residential",45.7320780000--76.6007820000,"Attention Developers: Build an apartment with up to 6 units. Land offering over 12,000 square feet in the heart of Campbell's Bay between the cities of Shawville and Fort-Coulonge. The land has access to utilities and city services, making it an ideal location for commercial and residential development. The lot is part of three side-by-side lots for sale by the same owner: 1 Ringrose Street (Lot): MLS® Number: 18610508 - 3 Ringrose Street (Commercial Building) MLS® Number: 15953401 - 5 Ringrose Street (Residential House) MLS® Number: 22609682. Possibility to buy together or separately"
13414178,Lot for sale,2023-06-20,Active,"37e Avenue, Laval (Fabreville), Neighbourhood West",6400 sqft,40000,YES,"0,00",Residential,45.5735560000--73.8621970000,Terrain boisé dans une rue à développer. L'acheteur devra faire part de son projet à la municipalité. Zone inondable.
26533999,Lot for sale,2023-06-20,Active,"Rue Notre-Dame, Champlain",21133 sqft,115000,NO,"0,00","Agricultural, Residential",46.4220180000--72.3817350000,Grand terrain à vendre avec vue sur le fleuve Saint-Laurent. Le terrain est surélevé par rapport au fleuve Saint-Laurent.    Le terrain se situe à proximité de plusieurs centres de services et également d'une descente à bateau. Approvisionné par l'eau municipale. Situé à 20 minutes de trois-rivières et 1 heure de Québec.
